product_name,price,Top_Sell_Rank,Popularity_Rank
20Dresses Brown Shiver Me Timbers Boots,1374,181,108
"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",39,268,108
612 League Girl's Gathered Dress,8029,57,20
612 League Girl's Shift Dress,449,147,108
"@499 Casual, Festive, Formal, Lounge Wear, Party Sleeveless Embellished Women's Top",1999,268,108
"A Avon PK_504 Analog Watch  - For Men, Boys",549,526,108
"A Avon PK_741 Analog Watch  - For Men, Boys",440,71,108
A R ENTERPRISES musical wlking cow,4899,86,108
ABHIRA Girl's A-line Dress,1073,160,108
ACM Pouch for Intex Aqua Lions 3g,898,30,108
ACM Pouch for Swipe Elite Plus,60,526,108
AKUP be-urr-own-hero 1 Ceramic Mug,2708,638,108
AKUP beautiful Ceramic Mug,300,526,108
AKUP because-i-have-a-brother Ceramic Mug,4627,235,108
AKUP crazy-women Ceramic Mug,249,260,108
AKUP dad-a-daughters-first-love Ceramic Mug,159,268,108
AKUP dream-big-work-hard Ceramic Mug,3911,268,108
AKUP happy-mothers-day Ceramic Mug,255,268,108
AKUP happy-new-year-love- Ceramic Mug,200,526,108
AKUP happy-thanks-giving Ceramic Mug,.55.00,147,108
AKUP i-creid-because Ceramic Mug,599,268,108
AKUP i-love-dubstep Ceramic Mug,795,268,108
AKUP i-love-music Ceramic Mug,999,268,108
AKUP i-love-my-mom Ceramic Mug,170,638,108
AKUP i-love-stories Ceramic Mug,410,449,108
AKUP i-loves-music Ceramic Mug,5540,268,108
AKUP keep-calm Ceramic Mug,8640,13,108
AKUP league-of-legends Ceramic Mug,3100,449,108
AKUP life-is-not-living Ceramic Mug,354,268,108
AKUP love-music Ceramic Mug,4440,268,108
AKUP one-gud-thing-about-music Ceramic Mug,750,268,108
AKUP ur-own-kind Ceramic Mug,249,268,108
AKUP without-the-rain Ceramic Mug,3585,431,108
AW Bellies,1042,86,108
Aadyaa Collections Alloy Bangle Set,5753,638,108
Aaliya Casual Sleeveless Embellished Women's Top,599,638,108
Aaliya Casual Sleeveless Solid Women's Top,598,449,108
Aaliya Festive Full Sleeve Self Design Women's Top,350,449,108
Aaliya Festive Full Sleeve Solid Women's Top,8305,449,108
Abr Casual Shoes,918,638,108
Absurd Full Sleeve Solid Men's Reversible Sweatshirt,2023.12,449,108
Absurd Full Sleeve Solid Men's Sweatshirt,7999,416,56
Addyvero Geometric Print Round Neck Casual Boy's Sweater,168,602,108
Akshadha Girl's A-line Dress,149,161,108
"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",999,366,108
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",225,214,108
Alibi Casual Short Sleeve Solid Women's Top,995,268,108
Alibi Casual Sleeveless Solid Women's Top,2944,526,108
Alisha Solid Women's Cycling Shorts,799,232,11
Allen Solly Casual Short Sleeve Solid Women's Top,219,426,108
Allen Solly Girl's A-line Dress,8203,449,108
Allen Solly Girl's Gathered Dress,4703,239,34
Allen Solly Girl's Layered Dress,17,638,108
Allen Solly Girl's Shift Dress,299,240,56
Allure Silver Amethyst Sterling Silver Ring,649,417,108
American Crew Solid Women's Track Pants,4800,245,108
American-Elm Solid Men's Waistcoat,479,181,108
Anand Archies Boots,9846,366,108
Anaya Women Heels,3949,568,108
Angelfish Silk Potali Potli,4475,638,108
Araanz by Tribhovandas Bhimji Zaveri Delhi Gold Diamond 18K Yellow Gold 18 K Ring,9168,44,108
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",190,496,108
"Asian Aura Electric Burner Rose, Vanilla Liquid Air Freshener",498,638,108
"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Amethyst Ring",1765,357,108
"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",99,245,56
"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Zircon Ring",350,638,108
"Asian Gems & Jewels 5.25 Ratti 5 Dhaatu Sterling Silver, Metal, Alloy Coral Ring",4073,526,108
"Asian Gems & Jewels 6.25 Ratti 5 Dhaatu Sterling Silver, Metal, Alloy Cat's Eye NA K Ring",7479,52,108
Asics Gel-Cumulus 17 Running Shoes,9619,268,108
Asics Gel-Kayano 22 Running Shoes,94.05,158,108
Ausy Casual Short Sleeve Floral Print Women's Top,1578,449,108
Ausy Casual Short Sleeve Printed Women's Top,7037,260,108
Avsar Sachi Gold Diamond 18 K Ring,250,366,108
BFT 6 W LED Bulb,3105,496,108
BFT 6 W LED Cool White Bulb,3058,523,108
BFT 9 W LED Bulb,999,44,56
Babeezworld Dungaree Baby Boy's  Combo,2000,621,108
Babeezworld Solid Round Neck Boy's Sweater,90,105,108
Bedazzle Casual Sleeveless Solid Women's Top,350,568,108
Beebay Girl's A-line Dress,506,526,108
Behringer Xenyx 502 Analog Sound Mixer,7034.5,526,108
Bellafoz Women Heels,695,417,34
Belle Gambe Boots,6794,61,20
Belle Gambe Winter Boots,339,366,108
Bells And Whistles Striped Round Neck Boy's Sweater,170,366,108
Bengal Blooms Rose Artificial Plant  with Pot,295,565,108
Bento Musical Teddy Bear,250,431,108
Besiva Casual Full Sleeve Solid Women's Top,9117,558,108
Betty Girl's Maxi Dress,8139,23,7
Blacksoul Casual Short Sleeve Solid Women's Top,489,568,108
"BlueStone Sylvan Lattice Yellow Gold Diamond, Pearl 18 K Ring",230,268,108
"BlueStone The Beatrice White Gold Diamond, Pearl 14 K Ring",199,430,108
BlueStone The Ciara for her Yellow Gold Diamond 18 K Ring,850,52,108
BlueStone The Crocio Band Yellow Gold Diamond 14 K Ring,3840,181,108
BlueStone The Elettra Yellow Gold Diamond 18 K Ring,128,268,108
"BlueStone The Golden Arm Yellow Gold Diamond, Pearl 18 K Ring",430,181,108
BlueStone The Juliette Yellow Gold Diamond 18 K Ring,6867,268,108
BlueStone The Princess Gold Diamond 18 K Ring,6059,526,108
"BlueStone The Rajeshwari White Gold Diamond, Emerald, Ruby 18 K Ring",610,86,108
BlueStone The Sestet Yellow Gold Diamond 14 K Ring,598,568,108
BlueStone The Twin Wingflow Yellow Gold Diamond 18 K Ring,399,345,108
"BlueStone The Ziva Yellow Gold Diamond, Emerald 18 K Ring",7750,449,108
Bonzer Bellies,5149,258,34
Bonzer Boots,2894,431,108
Bostan Running Shoes,667,181,108
BownBee Girl's Gathered Dress,2879,638,108
BrandTrendz Bellies,3931,147,108
BrandTrendz Loafers,4818,417,108
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",769,30,108
"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",2399,219,108
Bruno Manetti 664 Boots,79,449,108
Bruno Manetti 676 Boots,108,181,108
Bruno Manetti Cannelita Boots,249,20,108
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,595,568,108
Bulaky vanity case Jewellery Vanity Case,399,13,108
Burt s Bees Hair Repair Shea And Grapefruit Deep Conditioner,199,638,108
Butterfly Wears Casual Short Sleeve Solid Women's Top,3009,219,108
C&S Shopping Gallery Women's Leggings,2693,63,108
CASEDEAL Microsoft Nokia lumia x2 Back Panel,2679,558,108
Calgari Women's Gathered Dress,7902,366,108
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",534,366,108
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",349,491,108
CaratLane Fantasia Band White Gold Diamond 18 K Ring,205,129,108
CaratLane Swish Ray White Gold Diamond 18 K Ring,250,129,108
Carl 3346-1-Cheetablue Boots,7953,268,108
Carlton Boots,3107,496,108
Carlton London Boots,897,85,56
Carmity RN-020 Maruti Ciaz Car Grill Cover,699,417,108
Carrel Printed Women's,5120,495,56
"Cartier W6701005 Analog Watch  - For Boys, Men",2699,568,108
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",821,173,108
CatBird Boots,7804,621,108
Cation Casual 3/4 Sleeve Printed Women's Top,4160,568,108
Cation Casual 3/4 Sleeve Solid Women's Top,540,12,11
Cation Casual Short Sleeve Solid Women's Top,660,259,13
"Cation Casual Short Sleeve, 3/4 Sleeve Solid Women's Top",2400,621,108
"Cation Casual Short Sleeve, Sleeveless Solid Women's Top",4966,526,108
Cation Casual Sleeveless Solid Women's Top,4159,268,108
Catwalk Boots,4399,562,56
Cellbazaar Blackberry 8520 WHITE LCD LCD,249,431,108
Clara Certified Katela 3 cts or 3.25 ratti 4 Prongs Sterling Silver Amethyst Ring,193,526,108
Clara Certified Katela 3.9 cts or 4.25 ratti Stunning Sterling Silver Amethyst Ring,645,161,108
Clara Certified Katela 5.5 cts or 6.25 ratti Elegant Sterling Silver Amethyst Ring,795,526,108
Clara Certified Katela 6.5 cts or 7.25 ratti 4 Prongs Sterling Silver Amethyst Ring,595,526,108
Clara Certified Katela 6.5 cts or 7.25 ratti Elegant Sterling Silver Amethyst Ring,792,63,108
